krs1214;name;krankenhausbetten2014;t_typ
7143000;Westerwaldkreis;26,8;1
7211000;Trier, kreisfreie Stadt;156,2;5
7316000;Neustadt an der Weinstraße, kreisfreie Stadt;80,3;4
7317000;Pirmasens, kreisfreie Stadt;103,1;1
7232000;Eifelkreis Bitburg-Prüm;69,4;1
7233000;Vulkaneifel;34,4;1
7318000;Speyer, kreisfreie Stadt;126,6;5
7235000;Trier-Saarburg;25,5;1
7311000;Frankenthal (Pfalz), kreisfreie Stadt;66;5
7312000;Kaiserslautern, kreisfreie Stadt;121,5;4
7313000;Landau in der Pfalz, kreisfreie Stadt;189,8;3
7331000;Alzey-Worms;49,3;4
7332000;Bad Dürkheim;38,7;4
7333000;Donnersbergkreis;23,7;1
7334000;Germersheim;25,3;3
7335000;Kaiserslautern;53,2;4
7336000;Kusel;0;1
7337000;Südliche Weinstraße;62,5;3
7338000;Rhein-Pfalz-Kreis;0;5
8115000;Böblingen;29,4;5
7339000;Mainz-Bingen;17;3
7340000;Südwestpfalz;23,6;1
8111000;Stuttgart;84,7;5
8116000;Esslingen;38,8;5
8117000;Göppingen;53,1;3
8118000;Ludwigsburg;33,3;5
12054000;Potsdam, Stadt;97,9;5
8119000;Rems-Murr-Kreis;31,8;5
8121000;Heilbronn;90,9;5
8125000;Heilbronn;38;3
15003000;Magdeburg, Landeshauptstadt;100,6;5
8126000;Hohenlohekreis;26;2
8127000;Schwäbisch Hall;36,4;2
8128000;Main-Tauber-Kreis;86,7;2
8135000;Heidenheim;41,7;2
8136000;Ostalbkreis;34,2;2
8211000;Baden-Baden;138,5;3
8212000;Karlsruhe;91,9;5
8215000;Karlsruhe;23,6;3
8216000;Rastatt;25,7;3
8221000;Heidelberg;194,4;5
8222000;Mannheim;84,7;5
8225000;Neckar-Odenwald-Kreis;36,6;1
8226000;Rhein-Neckar-Kreis;27,8;5
8231000;Pforzheim;98,8;5
8235000;Calw;79,3;3
8236000;Enzkreis;16,2;3
8237000;Freudenstadt;39,6;2
16053000;Jena, Stadt;133,5;5
8315000;Breisgau-Hochschwarzwald;51,3;3
8316000;Emmendingen;62,4;3
8317000;Ortenaukreis;54,5;3
8325000;Rottweil;61,1;2
8326000;Schwarzwald-Baar-Kreis;60,3;3
8327000;Tuttlingen;27;2
9564000;Nürnberg;69,5;5
8335000;Konstanz;59,4;3
8336000;Lörrach;37,1;3
8337000;Waldshut;39,9;3
8415000;Reutlingen;40,9;3
8416000;Tübingen;87,3;3
8417000;Zollernalbkreis;31;2
8421000;Ulm;125,4;5
8425000;Alb-Donau-Kreis;22,1;2
8426000;Biberach;46,2;2
8435000;Bodenseekreis;35,4;3
8436000;Ravensburg;64;2
8437000;Sigmaringen;54;2
