GENESIS-Tabelle: 12411-0017
Bevölkerung: Kreise, Stichtag, Altersgruppen;;;;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;;;;
;;;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen
;;;unter 3 Jahre;3 bis unter 6 Jahre;6 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr;Insgesamt
31.12.2020;03255;Holzminden, Landkreis;1741;1782;2203;2936;1921;1392;3664;3564;3755;3648;3556;3952;5708;6189;5365;8915;9916;70207
31.12.2020;03256;Nienburg (Weser), Landkreis;3312;3456;4403;5788;3707;2597;6581;6363;6773;6710;6632;7252;10195;10973;9317;13718;13868;121645
31.12.2020;03257;Schaumburg, Landkreis;4024;4216;5278;6860;4472;3184;8104;7781;8564;8652;8668;9486;13728;14147;11855;18442;20945;158406
31.12.2020;03351;Celle, Landkreis;5023;5234;6779;8448;5464;3709;8949;9254;10730;10392;10206;10642;14044;14968;12873;20867;21804;179386
31.12.2020;03352;Cuxhaven, Landkreis;5190;5405;6913;9088;5652;3878;9239;9287;10627;10604;10633;12078;16661;17284;15023;25790;25474;198826
31.12.2020;03353;Harburg, Landkreis;7119;7713;9823;12175;7514;5083;12548;11854;14013;15185;15980;16260;22685;22794;17643;27288;30339;256016
31.12.2020;03354;Lüchow-Dannenberg, Landkreis;1105;1178;1579;2082;1391;988;2021;2027;2287;2429;2555;2727;3934;4331;4066;6768;7035;48503
31.12.2020;03355;Lüneburg, Landkreis;5052;5341;6971;8735;5478;3857;11293;10468;11469;11165;11425;11722;15518;15498;12265;18860;19118;184235
31.12.2020;03356;Osterholz, Landkreis;3111;3440;4238;5304;3268;2293;5263;4998;6124;6609;6569;7089;10161;10377;8565;13418;13813;114640
31.12.2020;03357;Rotenburg (Wümme), Landkreis;4626;4564;5769;7821;5155;3722;9150;8819;9816;9324;9232;10349;14048;14445;11923;18161;17562;164486
31.12.2020;03358;Heidekreis;3954;3922;5067;6579;4209;3046;7751;7683;8543;7943;7928;8310;11544;12121;10327;15350;16608;140885
31.12.2020;03359;Stade, Landkreis;6124;6299;7800;10040;6184;4283;11044;11278;12440;12320;12313;12906;16765;16893;14056;22312;22300;205357
31.12.2020;03360;Uelzen, Landkreis;2234;2268;2951;3986;2659;1809;4609;4518;5010;4641;5000;5681;7740;8342;7265;11182;12671;92566
31.12.2020;03361;Verden, Landkreis;3991;4333;5303;6589;4079;2808;7097;7036;7851;8071;7685;8375;11462;11686;9794;15740;15674;137574
31.12.2020;03401;Delmenhorst, kreisfreie Stadt;2413;2583;2908;3640;2254;1659;4312;4596;4940;4534;4436;4773;5939;6177;5151;8402;8786;77503
31.12.2020;03402;Emden, kreisfreie Stadt;1359;1471;1770;2281;1426;1036;3404;3456;3222;2910;2800;2939;3967;3817;3196;5482;5338;49874
31.12.2020;03403;Oldenburg (Oldenburg), kreisfreie Stadt;4630;4437;5689;7013;4342;3448;13222;14558;13330;10645;9731;9772;12763;12586;10579;16306;16554;169605
31.12.2020;03404;Osnabrück, kreisfreie Stadt;4428;4248;5307;6665;3940;3491;15757;15523;12551;10182;9193;9570;11562;11232;9693;14557;16324;164223
31.12.2020;03405;Wilhelmshaven, kreisfreie Stadt;1926;1969;2338;2981;1859;1364;4983;5387;4807;3575;3606;3765;5592;6166;5149;9020;10702;75189
31.12.2020;03451;Ammerland, Landkreis;3452;3649;4664;5891;3910;2730;6246;6205;7209;7089;7099;7786;10630;10710;8781;14670;14922;125643
31.12.2020;03452;Aurich, Landkreis;4960;5104;6626;8675;5622;4149;10342;9942;10660;9893;10205;12036;16075;16493;14430;24288;20678;190178
31.12.2020;03453;Cloppenburg, Landkreis;6040;5920;7279;9368;6114;4446;11373;11387;11601;10697;10288;10794;13560;13494;11340;15186;13745;172632
31.12.2020;03454;Emsland, Landkreis;10069;10113;12559;16194;10485;7523;19238;19876;21399;20201;19778;21137;26536;26575;22864;33864;30519;328930
31.12.2020;03455;Friesland, Landkreis;2491;2726;3351;4236;2741;2002;4818;4751;5299;4981;4999;5762;8539;8802;7240;12667;13566;98971
31.12.2020;03456;Grafschaft Bentheim, Landkreis;4143;4111;5316;6946;4374;3020;7647;7790;8310;7966;7892;8714;11489;11694;9471;14851;14157;137891
31.12.2020;03457;Leer, Landkreis;5006;4995;6262;8056;5305;3721;9570;9713;10619;9864;9553;10721;14217;14431;12078;19510;17862;171483
31.12.2020;03458;Oldenburg, Landkreis;3668;3749;4740;6168;3987;2987;6993;6590;7473;7210;7543;8390;11966;11800;9556;14261;14386;131467
31.12.2020;03459;Osnabrück, Landkreis;10931;10859;13854;17356;11330;7869;19514;19141;21806;20803;20668;22552;29217;30952;26244;37553;38822;359471
31.12.2020;03460;Vechta, Landkreis;4951;4768;6064;7644;4957;3592;9699;9582;9724;9066;8741;9069;11113;11505;9259;12577;11387;143698
31.12.2020;03461;Wesermarsch, Landkreis;2339;2364;2947;3922;2652;1896;4748;4658;4933;4554;4669;5341;7578;8079;6634;10489;10721;88524
31.12.2020;03462;Wittmund, Landkreis;1409;1500;1987;2611;1679;1248;2930;2826;3093;2891;3046;3492;4768;4934;4611;7585;6774;57384
31.12.2020;04011;Bremen, kreisfreie Stadt;17160;16395;19427;24378;14643;10969;37331;40844;41941;37601;33762;33556;41947;41965;35338;56319;62997;566573
31.12.2020;04012;Bremerhaven, kreisfreie Stadt;3456;3622;4365;5412;3267;2329;7110;7174;7414;6686;6532;6626;7952;8717;7745;12564;12586;113557
31.12.2020;05111;Düsseldorf, kreisfreie Stadt;18369;18251;21972;26657;14786;10132;33686;47882;53481;46284;40858;39530;47203;45017;36356;55607;64452;620523
31.12.2020;05112;Duisburg, kreisfreie Stadt;15157;15487;18416;23276;14014;10010;29621;33327;34327;30252;29918;30703;37504;38886;33078;48624;53285;495885
31.12.2020;05113;Essen, kreisfreie Stadt;17464;17343;20695;25434;15235;10385;33336;41014;42493;37625;34357;34315;43249;43875;38874;60153;66568;582415
31.12.2020;05114;Krefeld, kreisfreie Stadt;6435;6564;8116;10314;6481;4434;12558;14136;14371;13342;13143;13848;18530;18422;15976;23674;26500;226844
