GENESIS-Tabelle: 12411-0017
Bevölkerung: Kreise, Stichtag, Altersgruppen;;;;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;;;;
;;;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen
;;;unter 3 Jahre;3 bis unter 6 Jahre;6 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr;Insgesamt
31.12.2020;06435;Main-Kinzig-Kreis;12072;12309;15358;19507;12013;8167;22295;23279;26078;25649;26230;26897;34510;35304;29721;46236;46064;421689
31.12.2020;06436;Main-Taunus-Kreis;6961;7425;9625;12267;7288;4715;11384;11732;13937;15404;16080;16224;20619;19512;15202;23349;27540;239264
31.12.2020;06437;Odenwaldkreis;2559;2587;3299;4188;2731;1921;4854;5058;5575;5310;5471;5975;7750;8497;7500;12024;11455;96754
31.12.2020;06438;Offenbach, Landkreis;10689;11238;13614;16925;10347;6820;18725;19706;22386;22964;23162;23096;28436;28716;23351;36891;39476;356542
31.12.2020;06439;Rheingau-Taunus-Kreis;4789;5151;6555;8644;5444;3722;9519;9176;9991;10830;11030;11967;16383;16555;13765;21431;22481;187433
31.12.2020;06440;Wetteraukreis;8708;8984;11603;14579;8890;6183;16132;16770;18767;19219;19729;20073;26053;26363;21720;33101;33479;310353
31.12.2020;06531;Gießen, Landkreis;7733;7802;9149;11451;7073;5677;22766;22075;19613;16519;15361;14873;19267;20743;18029;27406;26130;271667
31.12.2020;06532;Lahn-Dill-Kreis;6939;7294;9027;11693;7249;5083;13362;14084;15396;14873;14714;15381;20506;21855;18687;28407;28823;253373
31.12.2020;06533;Limburg-Weilburg, Landkreis;4601;4791;6046;7962;5215;3590;9216;9497;10290;10126;10126;10491;14222;15199;12847;19486;18586;172291
31.12.2020;06534;Marburg-Biedenkopf, Landkreis;6343;6616;8464;10962;6871;5715;20038;17797;16505;14531;14072;14318;17968;19578;16681;24966;24478;245903
31.12.2020;06535;Vogelsbergkreis;2568;2671;3424;4467;2870;1961;5184;5010;5714;5774;5842;6522;8413;9661;9095;13503;12827;105506
31.12.2020;06611;Kassel, kreisfreie Stadt;6150;5826;6958;8493;5108;4007;15310;17243;16100;12861;11179;11282;13845;14454;12356;19127;20749;201048
31.12.2020;06631;Fulda, Landkreis;6265;6493;8174;10184;6716;4609;13244;13919;14024;13172;12778;13625;17554;18426;15684;23327;24829;223023
31.12.2020;06632;Hersfeld-Rotenburg, Landkreis;3168;3380;4130;5406;3396;2285;6032;6326;7058;6630;6753;7291;9590;10294;9121;14604;14840;120304
31.12.2020;06633;Kassel, Landkreis;6172;6513;8150;10242;6370;4543;11035;11398;13242;13332;13160;14498;19832;20751;17982;29328;30459;237007
31.12.2020;06634;Schwalm-Eder-Kreis;4404;4863;6216;7885;4953;3427;8934;9337;10504;10283;10263;11085;15063;15938;14065;21596;21024;179840
31.12.2020;06635;Waldeck-Frankenberg, Landkreis;4026;4286;5498;7163;4505;3130;7931;8312;8789;8610;8662;9369;12868;14128;12184;18449;18618;156528
31.12.2020;06636;Werra-Meißner-Kreis;2433;2465;3194;4107;2700;1796;5166;5198;5542;5302;5232;5844;8067;8886;8055;12843;13216;100046
31.12.2020;07111;Koblenz, kreisfreie Stadt;3147;2941;3703;4437;2675;2039;8386;9714;9057;7323;6381;5907;7774;7932;7001;11598;13373;113388
31.12.2020;07131;Ahrweiler, Landkreis;3562;3530;4483;5358;3390;2444;6592;6929;7356;7262;7082;7177;10677;11809;10077;15588;17163;130479
31.12.2020;07132;Altenkirchen (Westerwald), Landkreis;3662;3703;4644;5874;3605;2537;6682;7106;7727;7362;7093;7751;10494;11461;9909;14816;14661;129087
31.12.2020;07133;Bad Kreuznach, Landkreis;4350;4428;5678;7137;4380;3098;7887;8234;9239;9114;8891;9401;12815;13994;12223;19362;18515;158746
31.12.2020;07134;Birkenfeld, Landkreis;2353;2174;2736;3442;2141;1622;4107;4348;4711;4538;4219;4608;6173;7008;6667;10220;9763;80830
31.12.2020;07135;Cochem-Zell, Landkreis;1521;1564;1920;2537;1697;1247;3016;3162;3467;3236;3213;3566;5179;5803;4998;7676;7776;61578
31.12.2020;07137;Mayen-Koblenz, Landkreis;5986;6371;7624;9460;5891;4316;10918;11866;13259;12963;12507;12674;17518;18737;16392;24745;23559;214786
31.12.2020;07138;Neuwied, Landkreis;5354;5432;6657;8506;5433;3693;9508;9992;10877;10390;10146;10776;14743;16156;13992;20777;20699;183131
31.12.2020;07140;Rhein-Hunsrück-Kreis;2774;2928;3642;4461;2953;2073;4992;5322;6019;6021;5801;6184;8427;9292;8303;12575;11634;103401
31.12.2020;07141;Rhein-Lahn-Kreis;3225;3469;4294;5442;3277;2277;5939;6253;7129;7143;6980;7391;9929;11067;9676;14965;14118;122574
31.12.2020;07143;Westerwaldkreis;5643;5991;7266;9460;5946;4001;10016;10938;12518;12125;11772;12644;16929;18405;15151;22528;21497;202830
31.12.2020;07211;Trier, kreisfreie Stadt;2821;2891;3470;4304;2610;2244;10160;10447;9434;7936;6441;6163;7385;7711;6586;9753;10318;110674
31.12.2020;07231;Bernkastel-Wittlich, Landkreis;3088;3229;3920;4965;3132;2107;5459;5939;6557;6505;6465;6921;9003;10153;8720;13570;12952;112685
31.12.2020;07232;Eifelkreis Bitburg-Prüm;2874;3062;3584;4509;2875;1910;5120;6002;6243;6158;5715;6010;8114;9097;7587;11078;10117;100055
31.12.2020;07233;Vulkaneifel, Landkreis;1418;1537;2025;2508;1682;1120;3005;3100;3428;3283;3237;3456;4793;5665;5067;7698;7469;60491
31.12.2020;07235;Trier-Saarburg, Landkreis;4089;4345;5623;7311;4312;2866;7029;7899;9012;9494;9463;9532;12770;13424;11312;16616;15436;150533
31.12.2020;07311;Frankenthal (Pfalz), kreisfreie Stadt;1491;1527;1819;2189;1325;933;2546;2907;3263;3055;2932;2853;3582;3728;3412;5031;6157;48750
31.12.2020;07312;Kaiserslautern, kreisfreie Stadt;2944;2721;3137;3865;2348;1987;8255;9342;7472;5904;5155;5164;6739;7413;6628;10071;10517;99662
31.12.2020;07313;Landau in der Pfalz, kreisfreie Stadt;1246;1291;1498;1942;1152;953;4255;3852;3270;2696;2455;2647;3425;3688;3090;4491;4734;46685
31.12.2020;07314;Ludwigshafen am Rhein, kreisfreie Stadt;5704;5786;7116;8478;4990;3416;10520;11910;12809;11492;10989;10882;12626;12865;10458;15390;17126;172557
31.12.2020;07315;Mainz, kreisfreie Stadt;6193;5790;7017;8495;4848;3938;19036;21418;19884;16254;13205;12248;14410;13922;11835;18349;20281;217123
31.12.2020;07316;Neustadt an der Weinstraße, kreisfreie Stadt;1467;1569;1807;2260;1463;991;2528;2876;3317;3101;2723;2948;4157;4636;4199;6248;7016;53306
31.12.2020;07317;Pirmasens, kreisfreie Stadt;1067;1091;1317;1721;984;754;2196;2341;2435;2080;2099;2186;2955;3377;3160;4937;5476;40176
31.12.2020;07318;Speyer, kreisfreie Stadt;1325;1402;1774;2214;1404;999;2680;2929;3213;2980;2987;3110;4062;4219;3788;5728;5927;50741
31.12.2020;07319;Worms, kreisfreie Stadt;2537;2593;3156;3922;2394;1629;5277;5518;5438;5018;5098;5138;6065;6413;5861;8762;8640;83459
31.12.2020;07320;Zweibrücken, kreisfreie Stadt;838;915;1162;1512;896;667;1832;2100;2349;2034;1957;1886;2428;2725;2620;3963;4117;34001
31.12.2020;07331;Alzey-Worms, Landkreis;3850;3975;4977;5969;3733;2733;6556;6590;7993;8061;7966;8118;10842;11677;10404;15021;12250;130715
31.12.2020;07332;Bad Dürkheim, Landkreis;3437;3604;4496;5624;3606;2379;5842;6293;7170;7408;7487;7852;11480;12501;11010;16459;16356;133004
31.12.2020;07333;Donnersbergkreis;2046;2097;2668;3475;2271;1506;3699;3768;4346;4211;4413;4596;6144;6989;6257;9147;7906;75539
31.12.2020;07334;Germersheim, Landkreis;3775;3885;4830;5998;3604;2566;6811;7118;8208;8241;7806;8159;10574;11110;9825;13752;12744;129006
31.12.2020;07335;Kaiserslautern, Landkreis;3624;3484;3954;4932;3090;2136;5046;5305;6269;6310;6127;6196;8226;9362;8551;12327;11381;106320
31.12.2020;07336;Kusel, Landkreis;1942;1931;2367;2888;1837;1316;3279;3522;3913;3877;3722;3973;5574;6490;6156;9223;8095;70105
31.12.2020;07337;Südliche Weinstraße, Landkreis;2793;3140;3924;4729;2893;2119;5050;5383;6185;6462;6243;6712;9411;10361;8929;13798;12651;110783
31.12.2020;07338;Rhein-Pfalz-Kreis;4528;4904;5899;6835;4122;2820;7028;7365;9143;9525;9447;9155;12586;13931;11788;17505;18173;154754
31.12.2020;07339;Mainz-Bingen, Landkreis;5857;6363;8204;10161;6206;4211;10357;10026;11701;12909;13263;13692;18314;18871;16058;23322;22010;211525
31.12.2020;07340;Südwestpfalz, Landkreis;2247;2410;2991;3685;2356;1644;4154;4642;5248;5033;5062;5472;7939;9135;8229;12361;12304;94912
31.12.2020;08111;Stuttgart, kreisfreie Stadt;18196;16973;20370;26336;15311;11192;40276;55105;58980;49330;43068;40538;44281;42403;33721;51436;62789;630305
31.12.2020;08115;Böblingen, Landkreis;12585;12664;15398;18772;11422;7649;20675;23416;27177;26107;25255;24959;30876;30689;25584;36985;42685;392898
31.12.2020;08116;Esslingen, Landkreis;15781;15476;19157;24752;15372;10440;29873;33228;35820;34004;33555;34729;42854;42969;34883;51358;59366;533617
31.12.2020;08117;Göppingen, Landkreis;7439;7746;9431;11990;7497;5116;14211;15159;16303;15812;15400;16172;20551;21304;18039;26933;29678;258781
31.12.2020;08118;Ludwigsburg, Landkreis;16824;17096;20800;25930;15668;10502;28975;32927;37868;35713;35555;35285;43778;42864;35477;51755;57954;544971
31.12.2020;08119;Rems-Murr-Kreis;12688;12767;15689;19850;12771;8540;23072;24937;26818;26053;25823;27014;34973;35829;29211;42953;48298;427286
31.12.2020;08121;Heilbronn, kreisfreie Stadt;3911;3956;4755;5966;3651;2566;8144;9514;9508;8423;8152;7963;8897;8835;7541;11444;13232;126458
31.12.2020;08125;Heilbronn, Landkreis;10941;10775;13093;16307;10260;7059;18766;20412;23066;22263;22004;22478;27941;28901;23944;34508;33645;346363
31.12.2020;08126;Hohenlohekreis;3432;3340;4097;5387;3376;2320;6376;6846;7542;7025;6737;7065;9031;9483;8182;11463;11063;112765
31.12.2020;08127;Schwäbisch Hall, Landkreis;6081;6262;7512;9395;6049;4266;11004;12134;13222;12981;11853;12247;15483;16221;14122;20530;18498;197860
31.12.2020;08128;Main-Tauber-Kreis;3696;3645;4531;5921;3930;2676;6953;7342;7892;7874;7621;8053;10406;11294;10134;15608;15108;132684
31.12.2020;08135;Heidenheim, Landkreis;3776;3911;4837;6328;4027;2733;7346;7648;8323;8152;7958;8167;10192;10676;9359;13934;15445;132812
31.12.2020;08136;Ostalbkreis;9017;9027;11329;14820;9509;6852;18571;19061;19822;19000;18632;19905;24647;25599;22405;32607;33491;314294
31.12.2020;08211;Baden-Baden, kreisfreie Stadt;1425;1428;1703;2224;1451;959;2722;2984;3230;3215;3268;3317;4466;4576;3999;6557;7925;55449
31.12.2020;08212;Karlsruhe, kreisfreie Stadt;7939;7702;9533;11805;7129;6209;26143;28114;25731;21652;18645;18158;21920;21738;17817;27168;31033;308436
31.12.2020;08215;Karlsruhe, Landkreis;12519;12834;16621;20385;12562;8554;23366;25021;27920;28022;27230;28475;36504;38327;31975;48204;48333;446852
31.12.2020;08216;Rastatt, Landkreis;6504;6596;8242;10302;6591;4570;11863;12704;14207;14491;13853;14367;18778;20177;17517;25589;25740;232091
31.12.2020;08221;Heidelberg, kreisfreie Stadt;4544;4205;4955;5960;3399;3904;16834;15778;14461;12363;9404;8402;9819;9683;8099;12757;14174;158741
31.12.2020;08222;Mannheim, kreisfreie Stadt;9124;8686;10312;12571;7644;6195;23730;26253;25706;22026;19248;18905;22179;21978;18163;27442;29559;309721
31.12.2020;08225;Neckar-Odenwald-Kreis;3944;4073;4953;6448;4309;2981;7762;8002;8499;8281;8158;8789;11616;12813;11348;16303;15518;143797
31.12.2020;08226;Rhein-Neckar-Kreis;15392;16284;20522;25428;15340;10454;28130;30438;33583;34050;33659;33729;45336;46465;39112;59050;61261;548233
31.12.2020;08231;Pforzheim, kreisfreie Stadt;4270;3986;4923;5969;3622;2633;8047;8973;9192;8132;7675;7459;8828;8981;7959;11887;13480;126016
31.12.2020;08235;Calw, Landkreis;4671;4776;5956;7570;4825;3354;8751;8862;10028;9527;9459;10022;12557;13879;11832;16935;17145;160149
31.12.2020;08236;Enzkreis;5912;6042;7327;9302;5912;4195;10729;10673;11808;12312;11770;12141;16608;17380;14461;20836;22344;199752
31.12.2020;08237;Freudenstadt, Landkreis;3348;3410;4210;5618;3719;2542;6508;6923;7153;6959;6832;7430;9598;10294;8808;12443;12569;118364
31.12.2020;08311;Freiburg im Breisgau, kreisfreie Stadt;7042;6593;7917;9573;5801;4893;21008;22189;20628;16769;13767;12698;15060;15015;12864;18855;20268;230940
31.12.2020;08315;Breisgau-Hochschwarzwald, Landkreis;7813;7982;9981;12578;7771;5331;13767;14769;15718;15890;15455;15847;21374;22113;19006;29228;30244;264867
31.12.2020;08316;Emmendingen, Landkreis;4965;5088;6221;7788;5033;3245;8702;9031;10168;10311;9838;10294;13542;14363;12227;18086;17960;166862
31.12.2020;08317;Ortenaukreis;12704;13002;16082;20524;12764;8817;23593;25068;27639;26155;25038;26396;34565;36411;31426;46172;46224;432580
31.12.2020;08325;Rottweil, Landkreis;4278;4316;5304;6644;4319;2909;7535;8103;8688;8213;8049;8578;11284;11917;10084;14414;15531;140166
31.12.2020;08326;Schwarzwald-Baar-Kreis;6456;6149;7668;9831;6075;4177;11826;12647;14045;12800;12283;12326;16002;17133;15368;22829;25257;212872
31.12.2020;08327;Tuttlingen, Landkreis;4639;4496;5748;7114;4551;2935;8169;8692;9498;8957;8712;8790;10581;11081;9662;13683;14374;141682
31.12.2020;08335;Konstanz, Landkreis;8160;8229;10184;12855;7940;6334;20378;18871;18137;17235;16038;16539;22337;23228;19274;28876;32261;286876
31.12.2020;08336;Lörrach, Landkreis;6695;6921;8866;11304;6824;4439;11699;12981;14437;14439;13665;14074;18724;19594;16600;23087;24493;228842
31.12.2020;08337;Waldshut, Landkreis;4672;5199;6714;8607;5267;3567;8934;9621;10536;10578;10068;10239;13201;14356;12527;18658;18493;171237
31.12.2020;08415;Reutlingen, Landkreis;8627;8742;10640;13559;8559;5860;16399;16653;18368;17834;17091;18281;22856;23621;20056;28869;31482;287497
31.12.2020;08416;Tübingen, Landkreis;6769;6982;8169;10199;6466;5280;19208;18385;16681;14924;12868;12941;16303;17166;14986;20874;20270;228471
31.12.2020;08417;Zollernalbkreis;5329;5308;6700;8621;5403;3894;10042;10954;11789;11272;10639;11814;15006;16400;14266;20656;21769;189862
31.12.2020;08421;Ulm, kreisfreie Stadt;3717;3455;4523;5577;3275;2674;9828;10886;10400;8731;7912;7691;8728;8291;7105;11271;12341;126405
31.12.2020;08425;Alb-Donau-Kreis;6253;6231;7715;9791;6325;4246;11310;11642;12764;12287;12213;12541;15734;16354;13751;19469;19578;198204
31.12.2020;08426;Biberach, Landkreis;6597;6591;8139;10109;6294;4218;11226;12118;13715;13129;12242;13012;16003;16064;14105;19732;18956;202250
31.12.2020;08435;Bodenseekreis;6137;6207;7708;9904;6356;4381;11494;12347;13501;13194;12901;13093;17317;17843;15257;23834;26427;217901
31.12.2020;08436;Ravensburg, Landkreis;8733;8627;10653;13684;8551;6166;17445;17773;18824;17347;16991;17873;22823;22894;19418;28717;29369;285888
31.12.2020;08437;Sigmaringen, Landkreis;3768;3853;4813;6226;3968;2826;7735;7662;8131;7667;7310;7951;10340;11548;9660;13776;13712;130946
31.12.2020;09161;Ingolstadt, kreisfreie Stadt;4599;4217;5109;5981;3563;2528;8090;10104;11720;10319;9217;8573;9733;9454;8206;12119;13420;136952
31.12.2020;09162;München, kreisfreie Stadt;48838;44205;52090;59282;33716;24705;92750;133135;142752;119430;103186;96014;106243;96889;75191;119906;139870;1488202
31.12.2020;09163;Rosenheim, kreisfreie Stadt;1984;1800;2165;2790;1724;1209;4047;4762;4852;4255;4058;4009;4691;4711;3651;6161;6722;63591
31.12.2020;09171;Altötting, Landkreis;3397;3320;4140;5071;3256;2167;5953;6344;6732;6893;6553;6911;8824;9321;8055;12237;12480;111654
31.12.2020;09172;Berchtesgadener Land, Landkreis;2833;2952;3610;4407;2743;1942;5926;6583;6935;6714;6237;6231;8316;8479;7105;11700;13614;106327
31.12.2020;09173;Bad Tölz-Wolfratshausen, Landkreis;3885;3889;4751;5973;3680;2628;6739;6942;7855;7754;7931;8033;10822;10748;8806;12902;14874;128212
31.12.2020;09174;Dachau, Landkreis;4956;4824;6050;7377;4438;3079;8462;9197;10303;10683;10873;10340;12899;12548;9880;14293;14915;155117
31.12.2020;09175;Ebersberg, Landkreis;4346;4577;6123;7430;4381;3041;7944;7737;8657;9610;9935;9842;12717;11595;8985;12395;14776;144091
31.12.2020;09176;Eichstätt, Landkreis;4578;4537;5563;6485;4094;2798;7766;7756;9016;9123;8818;8481;10435;10601;9120;12308;11690;133169
31.12.2020;09177;Erding, Landkreis;4210;4385;5429;6689;4209;2922;8113;8262;8897;9077;9638;9640;12391;11911;9056;12428;11634;138891
31.12.2020;09178;Freising, Landkreis;5556;5580;6921;8383;5169;3691;11944;12824;13195;12783;12340;12284;14989;14329;11086;14620;14619;180313
31.12.2020;09179;Fürstenfeldbruck, Landkreis;6485;6660;8674;10519;6342;4259;11366;11716;13266;13674;14584;14340;18073;17450;13557;21489;26286;218740
31.12.2020;09180;Garmisch-Partenkirchen, Landkreis;2410;2358;2892;3637;2194;1589;4674;5117;5100;4851;5046;5288;7156;7700;5952;10056;12259;88279
31.12.2020;09181;Landsberg am Lech, Landkreis;3469;3687;4670;5871;3663;2474;6619;6441;7130;7321;7534;7664;10666;10672;8450;12269;12419;121019
31.12.2020;09182;Miesbach, Landkreis;2787;2861;3586;4659;2728;1897;5019;5449;5899;5910;6081;6418;8743;8619;6792;10270;12465;100183
31.12.2020;09183;Mühldorf am Inn, Landkreis;3460;3515;4493;5369;3298;2362;6590;6923;7629;7223;7267;7454;9430;9629;8305;12042;11494;116483
31.12.2020;09184;München, Landkreis;9838;10788;14199;18311;10630;6833;20061;19196;21317;22476;23869;23988;29149;26687;20109;31204;41030;349685
31.12.2020;09185;Neuburg-Schrobenhausen, Landkreis;2984;3072;3866;4696;2877;1955;5374;5723;6208;6497;6393;6219;7741;8044;6979;9694;9408;97730
31.12.2020;09186;Pfaffenhofen an der Ilm, Landkreis;4141;4105;5110;5962;3617;2510;7024;7544;9021;9302;8571;8233;10379;10794;8869;12206;11740;129128
31.12.2020;09187;Rosenheim, Landkreis;7635;7677;9781;11946;7709;5231;13998;14570;15803;15756;15471;16527;22143;22190;18254;28113;28917;261721
31.12.2020;09188;Starnberg, Landkreis;3597;3926;5449;7035;4340;2898;6765;6297;6715;7626;8491;9075;11926;11700;8972;13811;17987;136610
31.12.2020;09189;Traunstein, Landkreis;4995;4952;6152;7976;4973;3380;9459;10253;10794;10558;10246;10874;14117;15059;12790;19833;21074;177485
31.12.2020;09190;Weilheim-Schongau, Landkreis;4045;4144;5261;6421;3862;2775;7115;7368;8115;8194;8039;8093;11277;11688;9594;14449;15694;136134
31.12.2020;09261;Landshut, kreisfreie Stadt;2122;2012;2462;3175;1796;1305;4393;5492;5512;4926;4779;4708;5708;5236;4394;7153;7892;73065
31.12.2020;09262;Passau, kreisfreie Stadt;1284;1201;1496;1858;1131;1052;4826;4748;4291;3376;2767;2758;3422;3548;3314;5449;5894;52415
31.12.2020;09263;Straubing, kreisfreie Stadt;1276;1189;1442;1937;1198;837;2789;3369;3425;3140;2990;2916;3612;3818;3335;5247;5092;47612
31.12.2020;09271;Deggendorf, Landkreis;3102;3185;4083;5065;3362;2479;7322;7623;7400;7313;7226;7615;9427;10192;8959;13284;11842;119479
31.12.2020;09272;Freyung-Grafenau, Landkreis;1984;2062;2558;3104;2136;1608;4284;4395;4464;4486;4329;5014;6355;7172;6617;9739;8048;78355
31.12.2020;09273;Kelheim, Landkreis;3812;3689;4740;5926;3730;2568;7072;7411;8175;8048;7978;8093;9897;10144;8616;12274;11217;123390
31.12.2020;09274;Landshut, Landkreis;4856;5190;6248;7852;4817;3178;8957;8840;10118;10430;10473;10811;13515;13837;11353;16265;14451;161191
31.12.2020;09275;Passau, Landkreis;5023;5198;6722;8247;5374;3766;10396;10739;11318;11419;11435;12362;15721;16527;15144;23100;20963;193454
31.12.2020;09276;Regen, Landkreis;1998;2136;2526;3174;2172;1482;4140;4310;4733;4409;4432;4897;6190;6609;6297;9702;8106;77313
31.12.2020;09277;Rottal-Inn, Landkreis;3334;3375;4213;5433;3435;2441;7190;7250;7276;7336;7180;7542;9816;10247;9207;13414;13111;121800
31.12.2020;09278;Straubing-Bogen, Landkreis;3060;3023;3740;4733;3002;2077;5483;5485;6359;6289;6327;6750;8601;8733;7646;10912;9525;101745
31.12.2020;09279;Dingolfing-Landau, Landkreis;2945;2783;3460;4383;2760;1914;5382;6084;6698;6281;6114;6388;7731;8193;7244;9923;8961;97244
31.12.2020;09361;Amberg, kreisfreie Stadt;1133;1060;1359;1727;1096;796;2369;2652;2846;2511;2428;2354;3170;3417;3112;4875;5147;42052
31.12.2020;09362;Regensburg, kreisfreie Stadt;4404;3872;4744;5829;3359;2761;12268;15176;15301;11454;9251;8851;10236;9882;8329;12609;13944;152270
31.12.2020;09363;Weiden in der Oberpfalz, kreisfreie Stadt;1132;1093;1321;1718;1116;812;2657;2814;2801;2470;2397;2515;3337;3453;2987;4752;5160;42535
31.12.2020;09371;Amberg-Sulzbach, Landkreis;3221;2745;3359;4441;2841;2067;5511;5642;6270;5885;5927;6344;8549;9513;8370;11394;10919;102998
31.12.2020;09372;Cham, Landkreis;3508;3517;4408;5424;3573;2420;6994;7333;7812;7728;7494;8302;10292;11104;10007;14972;13206;128094
31.12.2020;09373;Neumarkt in der Oberpfalz, Landkreis;4222;3998;5025;6140;3739;2781;7810;8028;8541;8452;8328;8748;11280;11671;9934;13921;12607;135225
31.12.2020;09374;Neustadt an der Waldnaab, Landkreis;3148;2536;3139;4101;2608;1876;5051;5191;5720;5701;5355;5863;8013;8534;7437;10690;9682;94645
31.12.2020;09375;Regensburg, Landkreis;5696;5956;7468;9126;5615;3838;10160;10354;11755;12433;12598;12882;16303;16768;14352;20879;18092;194275
31.12.2020;09376;Schwandorf, Landkreis;4207;4150;5173;6421;4155;2918;8270;8822;9384;9160;9262;9598;11908;12934;10966;16131;15018;148477
31.12.2020;09377;Tirschenreuth, Landkreis;1903;1863;2404;2927;1887;1381;3724;4001;4139;4066;4019;4485;5945;6494;5775;8493;8190;71696
31.12.2020;09461;Bamberg, kreisfreie Stadt;2259;2028;2363;2793;1681;1356;5652;7140;7138;5248;4306;4230;5252;5486;4671;7008;8063;76674
31.12.2020;09462;Bayreuth, kreisfreie Stadt;1726;1693;1993;2609;1615;1768;7800;6728;5280;4212;3886;4041;4933;5085;4564;7778;8337;74048
31.12.2020;09463;Coburg, kreisfreie Stadt;1042;987;1252;1592;964;731;2607;2735;2898;2553;2142;2189;3111;3254;3020;4555;5210;40842
31.12.2020;09464;Hof, kreisfreie Stadt;1231;1329;1606;1838;1157;882;2737;2792;2913;2512;2466;2578;3404;3494;3199;5361;5674;45173
31.12.2020;09471;Bamberg, Landkreis;4413;4449;5470;6665;4178;3020;7660;7913;9299;9406;9099;9639;12447;13401;11317;15638;13483;147497
31.12.2020;09472;Bayreuth, Landkreis;2695;2760;3564;4634;2909;1969;5001;5083;5795;6151;6045;6711;8943;9385;8257;12129;11648;103679
31.12.2020;09473;Coburg, Landkreis;2325;2353;2990;3602;2288;1615;4114;4225;5162;5213;4996;5175;7331;7881;6911;10319;10071;86571
31.12.2020;09474;Forchheim, Landkreis;3340;3493;4297;5263;3243;2317;5967;6180;7071;7313;7170;7056;9587;10610;9207;12661;11825;116600
31.12.2020;09475;Hof, Landkreis;2300;2295;2940;3767;2452;1801;4494;4521;4890;4998;4939;5804;8135;8676;7793;11856;12861;94522
31.12.2020;09476;Kronach, Landkreis;1435;1498;2000;2560;1684;1275;3199;3252;3545;3664;3743;4269;5811;6254;5570;8356;8240;66355
31.12.2020;09477;Kulmbach, Landkreis;1715;1641;2136;2947;1895;1340;3598;3684;3830;3892;3969;4592;6177;6568;5835;9002;8607;71428
31.12.2020;09478;Lichtenfels, Landkreis;1708;1787;2245;2812;1680;1212;3438;3706;3771;3848;3970;4166;5469;6094;5308;7798;7710;66722
31.12.2020;09479;Wunsiedel im Fichtelgebirge, Landkreis;1721;1830;2234;2841;1863;1292;3482;3696;3678;3827;3779;4193;5924;6488;6033;9274;9819;71974
31.12.2020;09561;Ansbach, kreisfreie Stadt;1379;1176;1466;1830;1130;833;2536;2750;2678;2563;2454;2466;3125;3334;2906;4383;4672;41681
31.12.2020;09562;Erlangen, kreisfreie Stadt;3221;3146;3827;4700;2799;2316;9164;11079;9738;7777;6696;6220;7788;7704;6243;9188;10779;112385
31.12.2020;09563;Fürth, kreisfreie Stadt;4010;3874;4432;5302;3299;2316;7352;8670;9634;9184;8827;8477;10197;10361;8337;12036;11915;128223
31.12.2020;09564;Nürnberg, kreisfreie Stadt;15318;14698;17941;21799;12994;9377;31764;39496;41325;35926;33511;32056;37838;36491;30830;48882;55297;515543
31.12.2020;09565;Schwabach, kreisfreie Stadt;1206;1222;1541;1867;1123;780;2201;2258;2519;2604;2541;2527;3549;3426;2762;4252;4678;41056
31.12.2020;09571;Ansbach, Landkreis;5582;5627;6637;8620;5452;3712;10557;10535;11649;11550;11082;11597;15024;15930;13772;19706;18284;185316
31.12.2020;09572;Erlangen-Höchstadt, Landkreis;4123;4494;5602;6696;3941;2660;6789;6752;8136;9140;9030;8755;11182;11703;10079;15065;13958;138105
31.12.2020;09573;Fürth, Landkreis;3508;3686;4446;5201;3021;2151;5587;5886;6943;7380;7373;7283;9844;10277;8608;13435;14066;118695
31.12.2020;09574;Nürnberger Land, Landkreis;4828;5086;6247;7563;4726;3204;8410;8444;9927;10715;10563;10710;14603;14788;12626;18897;19806;171143
31.12.2020;09575;Neustadt an der Aisch-Bad Windsheim, Landkreis;2952;3003;3665;4512;2923;2074;5385;5444;6173;6286;6124;6140;8328;8854;7722;11366;10321;101272
31.12.2020;09576;Roth, Landkreis;3673;3887;4638;5702;3520;2590;6621;6556;7600;7830;7729;7956;10913;11285;9423;13698;13547;127168
31.12.2020;09577;Weißenburg-Gunzenhausen, Landkreis;2766;2882;3312;4274;2804;1977;5008;5142;5895;5614;5493;5690;7488;8318;7339;10737;10378;95117
31.12.2020;09661;Aschaffenburg, kreisfreie Stadt;2077;1941;2375;3024;1834;1276;3943;4746;5365;4718;4305;4439;5296;5681;4866;7400;7572;70858
31.12.2020;09662;Schweinfurt, kreisfreie Stadt;1524;1554;1846;2347;1400;1076;3424;3466;3546;3329;2953;2942;3514;3943;3644;5849;6962;53319
